А,1286
Б,1754
В,550
Г,1046
Д,800
Е,108
Ж,424
З,664
И,367
Й,4
К,2411
Л,732
М,1351
Н,495
О,834
П,1859
Р,607
С,1904
Т,1050
У,281
Ф,200
Х,296
Ц,240
Ч,727
Ш,289
Щ,160
Э,234
Ю,148
Я,222
